,pclass,survived,gender,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
0,1,1,female,29.0,0,0,24160,$211.34 ,B5,S,2,,"St Louis, MO"
1,1,1,male,0.9167,1,2,113781,$151.55 ,C22 C26,S,11,,"Montreal, PQ / Chesterville, ON"
2,1,0,female,2.0,1,2,113781,$151.55 ,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
3,1,0,male,30.0,1,2,113781,$151.55 ,C22 C26,S,,135.0,"Montreal, PQ / Chesterville, ON"
4,1,0,female,25.0,1,2,113781,$151.55 ,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
5,1,1,male,48.0,0,0,19952,$26.55 ,E12,S,3,,"New York, NY"
6,1,1,female,63.0,1,0,13502,$77.96 ,D7,S,10,,"Hudson, NY"
7,1,0,male,39.0,0,0,112050,$0.00 ,A36,S,,,"Belfast, NI"
8,1,1,female,53.0,2,0,11769,$51.48 ,C101,S,D,,"Bayside, Queens, NY"
9,1,0,male,71.0,0,0,PC 17609,$49.50 ,,C,,22.0,"Montevideo, Uruguay"
10,1,0,male,47.0,1,0,PC 17757,$227.53 ,C62 C64,C,,124.0,"New York, NY"
11,1,1,female,18.0,1,0,PC 17757,$227.53 ,C62 C64,C,4,,"New York, NY"
12,1,1,female,24.0,0,0,PC 17477,$69.30 ,B35,C,9,,"Paris, France"
13,1,1,female,26.0,0,0,19877,$78.85 ,,S,6,,
14,1,1,male,80.0,0,0,27042,$30.00 ,A23,S,B,,"Hessle, Yorks"
15,1,0,male,,0,0,PC 17318,$25.93 ,,S,,,"New York, NY"
16,1,0,male,24.0,0,1,PC 17558,$247.52 ,B58 B60,C,,,"Montreal, PQ"
17,1,1,female,50.0,0,1,PC 17558,$247.52 ,B58 B60,C,6,,"Montreal, PQ"
18,1,1,female,32.0,0,0,11813,$76.29 ,D15,C,8,,
19,1,0,male,36.0,0,0,13050,$75.24 ,C6,C,A,,"Winnipeg, MN"
20,1,1,male,37.0,1,1,11751,$52.55 ,D35,S,5,,"New York, NY"
21,1,1,female,47.0,1,1,11751,$52.55 ,D35,S,5,,"New York, NY"
22,1,1,male,26.0,0,0,111369,$30.00 ,C148,C,5,,"New York, NY"
23,1,1,female,42.0,0,0,PC 17757,$227.53 ,,C,4,,
24,1,1,female,29.0,0,0,PC 17483,$221.78 ,C97,S,8,,
25,1,0,male,25.0,0,0,13905,$26.00 ,,C,,148.0,"San Francisco, CA"
26,1,1,male,25.0,1,0,11967,$91.08 ,B49,C,7,,"Dowagiac, MI"
27,1,1,female,19.0,1,0,11967,$91.08 ,B49,C,7,,"Dowagiac, MI"
28,1,1,female,35.0,0,0,PC 17760,$135.63 ,C99,S,8,,
29,1,1,male,28.0,0,0,110564,$26.55 ,C52,S,D,,"Stockholm, Sweden / Washington, DC"
30,1,0,male,45.0,0,0,113784,$35.50 ,T,S,,,"Trenton, NJ"
31,1,1,male,40.0,0,0,112277,$31.00 ,A31,C,7,,"Glen Ridge, NJ"
32,1,1,female,30.0,0,0,36928,$164.87 ,C7,S,8,,"Youngstown, OH"
33,1,1,female,58.0,0,0,113783,$26.55 ,C103,S,8,,"Birkdale, England Cleveland, Ohio"
34,1,0,male,42.0,0,0,110489,$26.55 ,D22,S,,,"London / Winnipeg, MB"
35,1,1,female,45.0,0,0,PC 17608,$262.38 ,,C,4,,"Cooperstown, NY"
36,1,1,female,22.0,0,1,113505,$55.00 ,E33,S,6,,"St Leonards-on-Sea, England Ohio"
37,1,1,male,,0,0,111427,$26.55 ,,S,9,,"Los Angeles, CA"
38,1,0,male,41.0,0,0,113054,$30.50 ,A21,S,,,"Pomeroy, WA"
39,1,0,male,48.0,0,0,PC 17591,$50.50 ,B10,C,,208.0,"Omaha, NE"
40,1,0,male,,0,0,112379,$39.60 ,,C,,,"Philadelphia, PA"
41,1,1,female,44.0,0,0,PC 17610,$27.72 ,B4,C,6,,"Denver, CO"
42,1,1,female,59.0,2,0,11769,$51.48 ,C101,S,D,,"Belmont, MA"
43,1,1,female,60.0,0,0,11813,$76.29 ,D15,C,8,,"Philadelphia, PA"
44,1,1,female,41.0,0,0,16966,$134.50 ,E40,C,3,,
45,1,0,male,45.0,0,0,113050,$26.55 ,B38,S,,,"Washington, DC"
46,1,0,male,,0,0,113798,$31.00 ,,S,,,
47,1,1,male,42.0,0,0,PC 17476,$26.29 ,E24,S,5,,"New York, NY"
48,1,1,female,53.0,0,0,PC 17606,$27.45 ,,C,6,,"Washington, DC"
49,1,1,male,36.0,0,1,PC 17755,$512.33 ,B51 B53 B55,C,3,,"Austria-Hungary / Germantown, Philadelphia, PA"
50,1,1,female,58.0,0,1,PC 17755,$512.33 ,B51 B53 B55,C,3,,"Germantown, Philadelphia, PA"
51,1,0,male,33.0,0,0,695,$5.00 ,B51 B53 B55,S,,,"New York, NY"
52,1,0,male,28.0,0,0,113059,$47.10 ,,S,,,"Montevideo, Uruguay"
53,1,0,male,17.0,0,0,113059,$47.10 ,,S,,,"Montevideo, Uruguay"
54,1,1,male,11.0,1,2,113760,$120.00 ,B96 B98,S,4,,"Bryn Mawr, PA"
55,1,1,female,14.0,1,2,113760,$120.00 ,B96 B98,S,4,,"Bryn Mawr, PA"
56,1,1,male,36.0,1,2,113760,$120.00 ,B96 B98,S,C,,"Bryn Mawr, PA"
57,1,1,female,36.0,1,2,113760,$120.00 ,B96 B98,S,4,,"Bryn Mawr, PA"
58,1,0,male,49.0,0,0,19924,$26.00 ,,S,,,"Ascot, Berkshire / Rochester, NY"
59,1,1,female,,0,0,17770,$27.72 ,,C,5,,"New York, NY"
60,1,0,male,36.0,1,0,19877,$78.85 ,C46,S,,172.0,"Little Onn Hall, Staffs"
61,1,1,female,76.0,1,0,19877,$78.85 ,C46,S,6,,"Little Onn Hall, Staffs"
62,1,0,male,46.0,1,0,W.E.P. 5734,$61.18 ,E31,S,,,"Amenia, ND"
63,1,1,female,47.0,1,0,W.E.P. 5734,$61.18 ,E31,S,4,,"Amenia, ND"
64,1,1,male,27.0,1,0,113806,$53.10 ,E8,S,5,,"New York, NY / Ithaca, NY"
65,1,1,female,33.0,1,0,113806,$53.10 ,E8,S,5,,"New York, NY / Ithaca, NY"
66,1,1,female,36.0,0,0,PC 17608,$262.38 ,B61,C,4,,
